,col
0,yep i think its cb750 630 chain 14 years its finally stretching replace zone <sigh know  know
1,: : brought separate question israels unjustified : policies practices still unclear reaction : practices polocies reflected article above : : tim separate question mr clock deceiving judge resistance movement context occupation
2,im sure thats true let rephrase; yo file complaint bring person court understand it citizens arrest physical detention person better now?
3,bought moto guzzi univ va grad student charlottesville last spring mark cervi cervioasysdtnavymil (w) 4102672147 dod 0603 mgnoc 12998 87 moto guzzi spii what kinda bikes that? moto guzzi what\s that? italian 
4,wondering law officers read this several questions would like ask pertaining motorcycles cops please dont say get vehicle code go local station obvious things like that questions would found places answered face face real live flesh cop brother friend cousin whos father cop etc dont bother writing in thanks
5,theory hollering kills spirit criminal nazi armenians asala sdpa arf terrorism revisionism triangle now try dealing rest wrote more activities armenian government seem efforts aimed eradicating race (the turks) aimed carrying onesided feud instead struggle liberation outset efforts armenian revolutionaries within ottoman borders took form terrorist destructive actions aimed mass murder cruelty genocide interpretation possible armenian activities started reign abdulhamid ii individual acts terror developed assassinations surprise attacks element brute force activities increased steadily culminating mass rebellions widespread fighting first world war furthermore ottoman army withdrew eastern anatolia 1915 sarikamis defeat armenian revolutionaries initiated series cruelties area although russians occupied eastern anatolia enemy nevertheless constrained rules war however returned country 1917 revolution armenian revolutionaries unchecked area year ottoman forces returned erzurum 1918 period armenian revolutionaries executed massacres local people recorded historical documents1 example let us look report dated 21 march 1918 commander third army submitted entered erzurum erzincan: they completely systematically destroyed burned armenians even trees cut down like building entirely consumed fire every sense word people living erzurum erzincan: those capable fighting taken away beginning excuse forced labor road construction taken direction sarikamis annihilated russian army withdrew part remaining people destroyed armenian massacres cruelties: thrown wells locked houses burned down killed bayonets swords places selected butchering spots bellies torn open lungs pulled out girls women hanged hair subjected every conceivable abominable act small part people spared abominations far worse cruelty inquisition resembled living dead suffering temporary insanity dire poverty lived frightful experiences subjected to including women children persons discovered far exceed one thousand five hundred erzincan thirty thousand erzurum fields erzincan erzurum untilled everything people taken away them found destitute situation present time people subsisting food obtained impelled starvation russian storages left behind occupation area2 foreign observers witnessed events including russian officers desert lines submitted detailed reports proving genocide ottoman commanders received prisoners war important stated reports the massacres happen chance planned3 end war german author dr weiss austrian colleague dr stein turkish colleague mr ahmet vefik visited trabzon kars erzurum batum april 17th may 20th 1918 record cruelties writings show scope armenian activities also reveal goal true nature4 1 (the ottoman state ministry war) islam ahalinin ducar olduklari mezalim hakkinda vesaike mustenid malumat (istanbul 1918) french version: documents relatifs aux atrocites commises par les armeniens sur la population musulmane (istanbul 1919) latin script: h k turkozu ed osmanli sovyet belgeleriyle ermeni mezalimi (ankara 1982) addition: z basar ed ermenilerden gorduklerimiz (ankara 1974) and edited author ermeniler hakkinda makaleler  derlemeler (ankara 1978) askeri tarih belgeleri  vol 32 83 (december 1983) document numbered 1881 2 askeri tarih belgeleri  vol 31 81 (december 1982) document numbered 1869 3 twerdokhlebofs report dated 29 april 1918; quoted ermeniler  vol 2 p 275 4 a r (altinay) iki komite  iki kital (istanbul 1919) and kafkas yollarinda hatiralar tahassusler (istanbul 1919) serdar argic
6,periodic posting intended answer frequently asked question: dod? posted first month expiration time month thus unless sites news software illmannered posting always available witdodfaq crossposted four recmotorcycles groups attempt catch new users followups directed recmotorcycles last changed 9feb93 add message kotl bit halon version 11 collection originally assembled lissa shoun original postings lissas permission usurped title kotwitdodfaq corrections additions bribes etc aimed blgardnejavelinsimescom  contents: get dod number? blaine gardner dod 46 dod road rider article bruce tanner dod 161 dod? john sloan dod 11 dod logo chuck rogers dod 3 dod (this started all) denizen doom dod 1 dod anthem jonathan quist dod 94 killed blaine gardner dod 46 recmotophotoarchive courtesy bruce tanner dod 161 patches? patches? blaine gardner dod 46 letter ama museum jim rogers director dod 395 dod rules consensus recmoto resources various keepers dod misc recmotoreviewsarchive courtesy loki jorgenson dod 1210 updated stats & rides info ed green (dod 111) others  get dod number? frequently asked question recmotorcycles what dod? second frequently asked question must how get dod number? simple asking keeper list (kotl accept substitue keepers) number yore feeling creative favorite number hasnt taken already make request subject kotl approval (warning nonnumeric non base10 number requests likely earn flame kotl wont get it will pay it) oh one little tiny suggestion ask kotl email yoll playing lightning rod flames post whole net yoll look like clueless newbie too yore probably asking so whos kotl already? well john sloan notes below thats real secret left around here (un)subtle hints divulged first myself anyone mentioned name posting (maybe :) though john original kotl second keeping true spirit unix kotls first name two letters long spelled entirely hexadecimal characters (25 kotl shares name line oriented text utility) third occasionally seen posting messages bestowing new dod numbers (mostly boneheads weenie mailers) fourth reason suspect kotl deadhead ***************** newsflash: message kotl ****************** surmounted intellectual pinnacle electronically groveled kotl please keep mind kotl indeed work living occasionally must pacify boss getting something done request may languish mailer queue (gasp!) days perhaps even (horrors!) week two times economic activity part kotls employers sending yet another copy request speed processing queue (it makes longer verification phenominon left excersize reader) suspect mailer problems least annotate subsequent requests indication former request submitted lest assigned multiple numbers (what think kotl *memorizes* list?!?) *********************************************************************** one thing kotl says telepathic powers arent used be provide information list ya? typical dod list entry contains number name state country & email address example: 0111:ed green:ca:edgreeneastsuncom (ps: john mentions net access bike requirements dod membership thats strictly true days number denizens lack one both) blaine (dances bikers) gardner blgardnejavelinsimescom  denizens doom bruce tanner (dod 0161) road rider august 1991 reprinted bruces permission group motorcyclists gets together normal things bunch bikers do discuss motorcycles motorcycling beverages cleaning fluids baklavah balaclava caltrops helmets antifog shields spine protectors aerodynamics threeangle valve seats bird hits deer whistles good restaurants racing philosophy traffic laws tickets corrosion control personalities puns double entendres culture absence culture first rides friendship argue plan rides together difference group local motorcycle club that although get together everyday never seen face face members group live known world communicate electronically via computer computers range laptops multimillion dollar computer centers; people range college university students hightech industry professionals publicaccess electronic bulletinboard users currently recmotorcycles (pronounced wreckdotmotorcycles its file name groups primary online meeting place) carries 2250 articles per month; read estimated 29000 people frequent posters belong motorcycle club denizens doom usually referred dod dod started motorcyclist john r nickerson wrote couple parodies designed poke fun motorcycle stereotypes fellow computer enthusiast bruce robinson posted articles pen name denizen doom later chuck rogers signed dod nr 0003 keeper flame bruce designated dod nr 0002 retroactively and course nickerson originator parodies given dod nr 0001 idea motorcycle club organization meetings rules appealed many john sloan  dod nr 0011  became keeper list issuing dod numbers anyone wanted one date almost 400 memberships issued people united states canada well australia new zealand united kingdom france germany norway finland keeper list sloan eventually designed club patch initial run 300 patches sold immediately profits went american motorcycle heritage foundation another amhf fund raiser  selling denizens doom pins members  started arnie skurow months later again project successful profits donated foundation far denizens contributed $1500 ama museum plaque name denizens doom hangs motorcycle heritage museum often possible doders crawl behind crts go riding together turns two largest concentrations doders centered near denver boulder colorado californias silicon valley consequently two major events annual assault rollins pass colorado northern versus southern california joust rideandfeed bike trip rollins pass followed big barbecue dinner concept joust riders northern california ride south; riders southern california ride north meeting predesignated site somewhere middle additional plan 1991 hold official denizens doom homecoming conjunction ama heritage homecoming columbus ohio july though its safe bet denizens doom collective communications hub recmotorcycles replace traditional motorcycle organizations prowl electronic pathways search twowheeled camaraderie its great way kindred spirits get together long may flame live flame  flame live centerbar official motto denizens doom refers ease gratuitously insult someone electronically would anything like face face insults known flames; issuing called flaming flames often start member disagrees something another member posted network typical sophisticated intelligent form calm reasoned rebuttal would something like: what incredibly stupid statement spandexclad poseur! guarantee five people reply defense original poster describing think you riding ability cat  the denizens doom: saga unfolds john sloan dod 0011 periodically question what dod? raised one questions class why sky blue? if god much suffering world? why women inevitably tell yore nice guy dump you? kinds questions steeped mysticism tradition philosophy questions inspired research discussion philosophers locker rooms motorcycle service bays halls academe generations long long time ago (in computer time anything minutes eternity halting problem really problem) computer far far away net (topologically speaking; two machines room atlanta might route mail one another via system chicago) chap wished remain anonymous (but eventually assigned dod membership 1) wrote satire various personalities flame wars recmotorcycles signed the denizen doom wishing identify himself asked stalwart individual would fullness time become dod 2 post him dod 2 really giving whit people thought generally right thinking individual so flaming amusements followed would become holder dod membership 3 thought funniest thing hed seen (being sort pretty easily amused) claimed membership denizens doom motorcycle club started signing postings membership number perhaps readers recmotorcycles struck vision motorcycle club dues rules restrictions brand make model national origin motorcycle club organized electronically may well readers yearning become part something would provide greater identity gestalt personality something whole greater sum parts could also were computer nerds wear black socks sneakers pocket protectors happen also love taking risks machines awesome power weight ratios social outcasts saw clique would finally open minded enough accept us members clear case self fulfilling prophesy denizens doom motorcycle club born club majority members never met one another face face (and perhaps like way) yet feel know one another pretty well (or well enough given electronic personalities newsgroup) club organized run (in loosest sense word) volunteers network via electronic news mail membership mailing list (often used organize group rides amongst members live region) motto logo series photo albums circulating around country (organized dod 9) club patches (organized 11) even mtvstyle music video (produced 47 distributed vhs 18)! end? knows? dod start sanctioning races placing limits memory clock rate onboard engine management computers? dod organize poker runs participant collects hand hardware software reference cards? dod rally attendees demand terminal room least 386sized unix system? time tell dod dues rules requirements net access love motorcycles become member one need ask (although admit must ask one really good club secrets) new members receive via email membership number latest copy membership list includes name state email address denizens doom motorcycle club live forever (or least next year may decided change name) live flame  flame live  dod daemon seen patches pins etc chuck rogers car377druhiattcom dod 0003 :( dod ): :( x   x ): :( x     \\ \\ x ): :( x     \\  \\ \\ x ): :( l | \\  \\   \\  | f ): :( |   \\   \\ | l ): :( v \\      \\  ): :( e     \\   \\ \\ ): :( | | \\   | | e ): :( | |  |  |  | | ): :( | \\   \\\\  | ): :( \\ \\    ): :( f \\   ): :( l \\ \\     l ): :( \\ vvvvv   ): :( | ( ) | v ): :( e | ^^^^^ | e ): :( x \\  x ): :( x x ): :( x recmotorcycles x ): :( usenet ):  dod denizen doom dod 1 welcome one flamingest wonderfullest newsgroup time: wreckmudderdisciples reakmudderdisciples? names changes protect guilty (riders) innocent (the bikes) alike think recognize contorted version name dont its guilt complex working you read em weep tune conversation heros terrible barbarian extolling virtues hopalonga puffacane reverend muck mudgers stompin fuelinginjection: terrible: hopalonga greatest beats bmws dead!! muck: dont mean preach terrible lighten bmw crowd eh? mean like like riding yukayuka fudgeojammer 11 heck stompin: way bmw it complete thats man terrible: nahhhh yore sounding like heritick ratatnack! hey least selling bmw uses hopalonga intercorruptor! good puffacane called wooshastream stompin: mean weestream terrible: waddya going do? call reinforcements??? stompin: yehh man comes arlow scarecrow high tech lets see say eh? muck: men lets try civil this high tech: hi im 9 bmw greatest arlow: bt love bmw! terrible: bt??? arlow: burley thumpison greatest american ride own muck: ahhh look yore making terrible gag terrible: bmw stand anyway??? muck arlow high: beats me wilhelm terrible: actually name terrible hmmm dont know either muck: say comes chunky bear chunky: hey hey hey! smarter average bear! terrible: hey didnt drop bmw??? chunky: right eh little booboo left behind mean even villy ogle flamed that! muck: its okay makes mistakes blue west coasters arrive led tread orange dill snorkssy heritick ratatnack buck garnish snob rasseller perenial favorite: hooter boobin brush! heritick: heya terrible hows yer front back bias? terrible: bad sold yer bmw? heritick: nahhh hooter: hoot hoot buck: nice tree hooter howd ya get there? hooter: carbujectors hell!!! muck: whats carbujector? hooter: well aint made alumican!!! made tilloslert!! muck: ahh come down arent going flame ya honest!! dill: well race? snob: know chunky know drop well dont ride! muck: no! no! quiet! tread: bmws greatest supreme level headed opinion even luggage made sourkraut! high: 9 too! terrible heritick dill buck: nahhhhh!!! stompin tread high chunky snob: yesss yessssss!!! issue could resolved hopalonga crew called cohorts local area including polyanna stirrup infamous booster robiksen cavortin! polyanna: well men real bikers use stirrups bikes like use hopalonga eveningbird special helpful getting ole ventral stand! terrible: hopalongas great like polyanna says yukayukas sumarikis kersnapis good too! booster: hate cavortin all: know know booster: love cavortin all: know know muck: well mucho guzlers lepurras? snob tread: nawwwwww muck: tridump? terrible: isnt chewing gum? muck: auggggg waddda pluckakity? heritick: heyya muck tryin call demon rider himself? muck: no no mudderdisciples arguing make two riders zoom in form pill turret phalanx lifter pill: dorsal stands ventral stands forever phalanx: hey dont know that even west coasters pour in road onoblin: hopalongas greatest! maulled beerstein: may sit bikejector! suddenly people arrived great dark nurth: kite lanolin: hey bmws great men robonickie: prefer motorcycle robot transformers personally riders west coast come discussion: aviator sourgas: get burleythumpison beltedrigged frame guess gasket: go bmw burleythumpison roar screech latest mudderdisciple thundered in none clean bikata hopalonga cabammerxorn clean: like look hopalonga cabammerxorns muck: why?? clean: well like its gotta 6banger nothin muck: 4banger clean: good! chunky: sob us 2bangers! clean: inferior! stompin: hey look heres proof bmws better bimmerboys burst song: (singing) beemer babe beemer babe give thrill road terrible polyanna maulled dill etc: wadddoes bmw stand for? heritick stompin snob chunky tread kite high arlow: beats me wilhem! road terrible polyanna maulled dill etc: oh dont mean bmw? ensuing argument goes skies clouded thunder roared greatest mudderdisciple (gmd) boomed out gmd: enough bickering! doomed riding bigot & suction powered minitrikes childish actions all: no no no!!! puhlease mean wreckmudderdisciples riding minitrikes? arguing heros doomed? tune next week next gut wretching episode the yearning riderless ever increasing cast characters technical problems flamed well done next weeks episode answer question of: to helmet helmet aired heady material viewer discretion advised  script denizens doom anthem video jonathan e quist dod 94 scene: sterile engineering office lone figure well call chuck stands printer output bin wearing white cdc lab coat 5 mechanical pencils pocket protector (editors note: reason great deal amusement first annual dod unicoastal ironhorse ride & joust denizens referring chuck guess there wasnt) chuck: didnt want software systems analyst cowtowing whims machine saying yessir nosir mayihaveanothersir mother made it wanted live mans life music slowly builds background riding nortons triumphs highest mountain passes deepest valleys living life motorcyclist; donuts evading police; terrorizing old ladies raping small children; eating small dogs tea (and large dogs dinner) short want denizen! chuck rips lab coat revealing black leather jacket (with fringe) boots cap scene simultaneously changes top obviously assaulted rollins pass small throng hells angels sit harleys near background gunning engines showering lookerson nails turn donuts leaking oil tarmac chuck standing front heavily chromed fat boy chuck sings tune the lumberjack song: im denizen im okay flame night ride day hells angels echo chorus surprisingly heavy tenors: hes denizen hes okay flames night rides day ride bike; eat lunch; go lavatry wednesdays ride skyline running children glee chorus: rides bike; eats lunch; goes lavatry wednesdays rides skyline running children glee chorus refrain: cause hes denizen ride real fast name chuck somehow seems fit overrate worst bad f*ck like real good sh*t oh im denizen im okay! flame night ride day chorus refrain: oh hes denizen wear high heels bright pink shorts full leathers bra wish rode harley like dear mama chorus refrain  killed well first thing understand (just case managed read far still figure out) dod started joke words one denizen intends remain one sometime far distant past hapless newbie asked: what dod stand for? its department defense it? naturally denizen watched movie top gun times many rose occasion replied: that\s classified could tell you wed kill you rest history variation security theme supply disinformation dod stands for notable contributions (and contributers known) include: daughters democracy (dod 23) doers donuts dancers despair (dod 9) debasers daughters dickweeds denver driveway death debauchers donuts dumpers dirtbikes note comprehensive list variations appear limited contents ones imagination dictionary file  recmotophoto archive first bit history started ilana stern chuck rogers organizing recmotorcycles photo album many copies made several sets sent tours around world vanish unknown locations bruce tanner decided would appropriate electronic medium electronic photo album bruce provided disk space ftp & email access taken time scan photos available archive see folks look like also gawk motorcycles nonphoto files available server too include dod membership list dod yellow pages general recmotorcycles faq faq posting couple excerpts messages bruce posted use archive ********************************************************** via ftp: cerritosed 13015020021 via email: address servercerritosedu commands given body message current commands dir send given one per line arguments commands vms style file specifications recmotophoto file spec dodfile example send: dir dod send dodbrucetannergif send doddodframeps yoll get back 5 mail messages; directory listing 3 uuencoded parts brucetannergif dodframeps file ascii oh wildcards (*) allowed maximum 20 mail messages (rounded next whole file) send send dod*gif would send 150 files 50k each; good idea  bruce tanner (213) 8602451 x 596 tannercerritosed cerritos college norwalk ca cerritos!tanner ********************************************************** couple comments: bruce put quite bit effort this drop note find recmotophoto archive useful? second since bruce provided server favor would kind access normal working hours (california time)  patches? patches? may heard mention various dod trinkets patches & pins reaction probably: i want! that\s sick! perhaps that\s sick! want! well theres good news bad news good news theres amazing variety dodlabeled widgets created bad news isnt anywhere buy them isnt exclusivity attempt simply dod store keeps stock creations done individual denizens pockets typical procedure someone says i\m thinking dod frammitz made theyll cost $xxxx $xxxx going ama museum anyone want one? orders taken batch frammitzes large enough cover prepaid orders produced (and quickly consumed) want dod doodad act quickly next time somebody decides one produce one see void needs filling anarchy action heres possibly incomplete list known dod merchandise (and perpetrators) patches (dod11) pins (dod99) stickers (dod99) motorcycle license plate frames (dod216) tshirts (dod99) polo shirts (dod122) zippo lighters (dod99) ltf ftl belt buckles (dod99) patches (dod99) a second batch done (and rapidly consumed) popular demand profits donated american motorcyclist association motorcycle heritage museum june 1992 $5500 dollars contributed museum fund dod visit museum yoll see large plaque founders wall name denizens doom usenet world complete dod pin  heres letter ama dod regarding contributions ~newsgroups: recmotorcycles ~from: arnie skurow <arniemagnusacsohiostateedu> ~sub
7,sonuvabitch rub in dont you? we great weather great roads here unlike rest putzes us nyah nyah nyah :) severely humorimpaired yoll likely notice weight much piece advice you: dont abrupt throttle wheelies accelerate wee bit slowly usual consciously worry spitting back its much job keep pillion hers guarantee shell put bike ripping whack open keep lean angles pretty tame first time too need learn others body english needs learn idea take turn need learn idea shit! dont crash now! dont work cross purposes leaned over work aggressive riding time important thing: tell put hand tank brakethis could save severely crushed cookies fun
8,hello all bike hazard lights (both front back turn signals flash) since live nj commute nyc number tolls one must pay route arriving toll booth switch hazards on thisto warn motorists taking longer 2 1 2 seconds make transaction taking gloves off getting money coin changer pocket making transaction putting gloves back takes little time average cager takes make transaction paying toll also notice cagers tend get message usually go another booth question good bad thing do? others tend same? curious
9,news exceptions islamic holocaust much topic day historical evidence proves period 1914 1920 armenian government ordered incited assisted participated genocide 25 million muslim people race religion national origin armenians perpetrated acts sabotage destroyed telephone cables blew bridges blocked passes set ambushes attacked security stations small turkish outposts behind ottoman army lines one hand ruthlessly attacked turkish kurdish villages slaughtering turkish population indiscriminately women children old young alike innocent muslims one one cruelly bayonetted death massacred axes swords else shut mosques schools burnt alive seen below widespread armenian massacres innocent muslims took place regions van kars sivas erzurum bitlis erzincan mus diyarbakir maras ottoman army fighting prevent russian invasion also deal armenian genocide squads cowardly hit behind armenian genocide muslims spread parts eastern anatolia starting late 1914 armenians committed widespread massacres genocide eastern anatolia arena left armenians almost every turkish town village erzincan azerbaidjan suffered large scale massacres genocide armenians turkish genocide documented armenian russian american british ottoman german austrian french journalists officers observed first genocide century committed bloodthirsty armenian genocide squads ottoman army liberating trabzon bayburt erzincan erzurum kars regions russians saw cities villages destroyed burnt people slaughtered massacred massacres conducted armenians became black stain humanity shocked disgusted even russian british german austrian french american authorities almost every ottoman document related armenian massacres cruelties inhuman treatment cruelties atrocities genocide armenian genocide squads perpetrated innocent moslem turkish kurdish people sufficiently reflected historical documents even today seventyfive years later terrifying screams victims cruelties heard source: documents: volume (1919) document no: 76 archive no: 1 2 cabin no: 109 drawer no: 3 file no: 346 section no: 427(1385) contents no: 3 5253 (to lt colonel seyfi general headquarters second section istanbul  dr stephan eshnanie) neues wiener tagblatt  vienna pester lloyd local anzliger  berlin algemeen handelsblat  amsterdam vakit  istanbul i closely following two weeks withdrawal russians armenians turkish territories armenia although two months elapsed since clearing territories armenian gangs observing evidence cruelties armenians almost every step villages trabzon erzincan erzincan erzurum destroyed corpses turks brutally cruelly slain everywhere according accounts able save lives escaping mountains first horrible fearful events begun russian forces evacuated places taken armenian gangs russians usually treated people well people feared intervention armenians places taken armenians however massacres begun clearly announced intention clearing called armenian kurdish land turks thus solve nationality problem today opportunity meet austrian german soldiers escaped russian prison camps come kars alexander paul (gumruleninakan)russian officers tried save turks clashes russian officers armenian gangs erzurum see terrible almost whole city destroyed smell corpses still fills air although speculations armenian gangs murdered austrian german prisoners well could get supporting evidence regard proof murdering turkish prisoners war dr stephan eshnanie serdar argic
